INSTNM,STABBR,year,earnings_med,count_not_working,count_working
Alabama A & M University,AL,2007,36600,116,1139
University of Alabama at Birmingham,AL,2007,40800,366,2636
Amridge University,AL,2007,0,6,25
University of Alabama in Huntsville,AL,2007,49300,122,975
Alabama State University,AL,2007,30500,210,1577
The University of Alabama,AL,2007,46700,292,2754
Central Alabama Community College,AL,2007,28100,113,590
Athens State University,AL,2007,41700,77,676
Auburn University at Montgomery,AL,2007,37200,193,1400
Auburn University,AL,2007,48900,348,3685
Birmingham Southern College,AL,2007,47600,24,320
Chattahoochee Valley Community College,AL,2007,28600,108,640
Concordia College Alabama,AL,2007,22100,44,276
South University-Montgomery,AL,2007,31300,187,921
Enterprise State Community College,AL,2007,28400,111,572
Coastal Alabama Community College,AL,2007,29500,120,698
Faulkner University,AL,2007,38600,166,1158
Gadsden State Community College,AL,2007,28100,208,1149
George C Wallace Community College-Dothan,AL,2007,25900,158,875
George C Wallace State Community College-Hanceville,AL,2007,29400,262,1180
George C Wallace State Community College-Selma,AL,2007,25400,123,691
Herzing University-Birmingham,AL,2007,34900,70,469
Huntingdon College,AL,2007,40500,18,199
Heritage Christian University,AL,2007,31300,22,61
J. F. Drake State Community and Technical College,AL,2007,25000,68,350
Jacksonville State University,AL,2007,38900,240,1725
Jefferson Davis Community College,AL,2007,26000,126,511
Jefferson State Community College,AL,2007,32400,208,1179
John C Calhoun State Community College,AL,2007,30300,283,1608
Judson College,AL,2007,28800,19,108
Lawson State Community College-Birmingham Campus,AL,2007,25700,146,795
University of West Alabama,AL,2007,38300,85,633
Lurleen B Wallace Community College,AL,2007,27500,57,349
Marion Military Institute,AL,2007,47400,4,84
Miles College,AL,2007,30200,87,663
University of Mobile,AL,2007,35900,97,644
University of Montevallo,AL,2007,38900,94,640
Northwest-Shoals Community College,AL,2007,27100,235,1044
University of North Alabama,AL,2007,36200,142,1211
Northeast Alabama Community College,AL,2007,27800,109,557
Oakwood University,AL,2007,35400,79,480
Alabama Southern Community College,AL,2007,24000,126,637
Prince Institute-Southeast,IL,2007,0,8,40
Reid State Technical College,AL,2007,21800,50,261
Bishop State Community College,AL,2007,25600,294,1651
Samford University,AL,2007,46100,91,641
Shelton State Community College,AL,2007,25800,219,1311
Snead State Community College,AL,2007,28500,120,536
University of South Alabama,AL,2007,41300,297,2368
Spring Hill College,AL,2007,46900,44,321
Southeastern Bible College,AL,2007,33200,15,87
Stillman College,AL,2007,27500,63,450
Talladega College,AL,2007,31200,23,234
H Councill Trenholm State Community College,AL,2007,24100,89,527
Troy University,AL,2007,39500,313,2484
Tuskegee University,AL,2007,41000,84,963
United States Sports Academy,AL,2007,0,0,0
Bevill State Community College,AL,2007,29300,202,732
University of Alaska Anchorage,AK,2007,37100,376,1551
University of Alaska Fairbanks,AK,2007,37100,176,861
University of Alaska Southeast,AK,2007,38300,36,189
Alaska Pacific University,AK,2007,37600,11,93
AVTEC-Alaska's Institute of Technology,AK,2007,0,0,0
Charter College,WA,2007,36100,103,497
Prince William Sound Community College,AK,2007,37100,376,1551
Alaska Career College,AK,2007,27700,39,176
Everest College-Phoenix,AZ,2007,34900,71,331
Collins College,AZ,2007,31700,203,1196
Empire Beauty School-Paradise Valley,AZ,2007,20400,12,52
Empire Beauty School-Tucson,AZ,2007,18700,24,52
Thunderbird School of Global Magement,AZ,2007,0,10,28
American Indian College Inc,AZ,2007,0,9,49
American Institute of Trucking,AZ,2007,36000,103,364
Carrington College-Phoenix North,AZ,2007,29500,250,1220
CollegeAmerica-Flagstaff,AZ,2007,0,11,44
Arizo Academy of Beauty-East,AZ,2007,17800,14,77
Arizo Automotive Institute,AZ,2007,35900,143,705
Brookline College-Phoenix,AZ,2007,25900,459,1868
Arizo State University-Tempe,AZ,2007,49400,1063,8410
Arizo Western College,AZ,2007,28700,203,1351
University of Arizo,AZ,2007,47100,613,5348
Southwest University of Visual Arts-Tucson,AZ,2007,28700,72,345
Brillare Hairdressing Academy,AZ,2007,16800,13,56
Central Arizo College,AZ,2007,31500,136,648
Brown Mackie College-Tucson,AZ,2007,26200,111,517
Charles of Italy Beauty College,AZ,2007,0,14,33
Cochise County Community College District,AZ,2007,31700,326,1237
Empire Beauty School-Flagstaff,AZ,2007,14500,17,84
Empire Beauty School-Chandler,AZ,2007,14500,17,84
Cortiva Institute-Tucson,AZ,2007,25100,34,128
DeVry University-Arizo,AZ,2007,48700,1416,13591
Avalon School of Cosmetology-Mesa,AZ,2007,19500,38,107
Eastern Arizo College,AZ,2007,29200,139,575
Embry-Riddle Aeroutical University-Prescott,AZ,2007,58800,169,2934
Glendale Community College,AZ,2007,36000,495,2648
Grand Canyon University,AZ,2007,46400,72,505
Anthem College-Phoenix,AZ,2007,36300,390,2389
Olympian Academy of Cosmetology,AZ,2007,0,13,39
Lamson College,AZ,2007,37100,32,211
Kaplan College-Phoenix,AZ,2007,30400,87,364
Maricopa Beauty College LLC,AZ,2007,0,7,30
GateWay Community College,AZ,2007,34500,204,777
Mesa Community College,AZ,2007,39200,657,3341
ITT Technical Institute-Tucson,AZ,2007,39400,98,596
ITT Technical Institute-Tempe,AZ,2007,47100,56,385
Mohave Community College,AZ,2007,27000,152,557
Universal Technical Institute of Arizo Inc-Motorcycle Mechanics Institute Division,AZ,2007,36200,447,1843
Dine College,AZ,2007,23400,108,633
Northern Arizo University,AZ,2007,42900,512,3991
Northland Pioneer College,AZ,2007,24800,128,481
Ottawa University-Phoenix,AZ,2007,44100,82,734
Empire Beauty School-Glendale,AZ,2007,17000,25,57
Phoenix College,AZ,2007,35600,364,1917
Cortiva Institute-Scottsdale,AZ,2007,31600,24,115
University of Phoenix-Phoenix Campus,AZ,2007,62800,2466,25672
Pima Community College,AZ,2007,32400,1051,4938
